customer_id,transaction_id,violation_type,article_reference,details
CUST00004,TXN05636,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00004
CUST00022,TXN06670,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00022
CUST00031,TXN06485,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00031
CUST00032,TXN09225,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00032
CUST00070,TXN07136,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00070
CUST00074,TXN03938,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00074
CUST00082,TXN03698,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00082
CUST00111,TXN04498,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00111
CUST00123,TXN08921,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00123
CUST00168,TXN01375,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00168
CUST00182,TXN08508,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00182
CUST00186,TXN00571,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00186
CUST00197,TXN03217,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00197
CUST00214,TXN07872,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00214
CUST00221,TXN04759,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00221
CUST00222,TXN08825,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00222
CUST00241,TXN06185,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00241
CUST00245,TXN09732,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00245
CUST00247,TXN09462,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00247
CUST00257,TXN06074,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00257
CUST00261,TXN00795,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00261
CUST00270,TXN06526,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00270
CUST00284,TXN09013,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00284
CUST00294,TXN09173,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00294
CUST00301,TXN05155,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00301
CUST00310,TXN02079,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00310
CUST00313,TXN01527,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00313
CUST00317,TXN04490,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00317
CUST00352,TXN05433,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00352
CUST00353,TXN06271,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00353
CUST00361,TXN08036,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00361
CUST00402,TXN00579,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00402
CUST00429,TXN01561,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00429
CUST00441,TXN02846,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00441
CUST00457,TXN00145,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00457
CUST00467,TXN06114,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00467
CUST00482,TXN04315,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00482
CUST00488,TXN04645,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00488
CUST00511,TXN05786,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00511
CUST00515,TXN00693,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00515
CUST00520,TXN06867,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00520
CUST00523,TXN07973,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00523
CUST00532,TXN06388,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00532
CUST00534,TXN08836,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00534
CUST00564,TXN05320,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00564
CUST00566,TXN04661,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00566
CUST00586,TXN00302,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00586
CUST00600,TXN09138,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00600
CUST00624,TXN06383,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00624
CUST00628,TXN00599,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00628
CUST00649,TXN02057,Missing Consent,GDPR Art.6 | DPDP S.6,Missing Consent failed for CUST00649
